homeTileId,workTileId,rows,workers
NEC_CM02_RM01,NEC_CP02_RP01,66,66
NEC_CM02_RM01,NEC_CP02_RP02,78,78
NEC_CM02_RM01,NEC_CP02_RP03,11,11
NEC_CM02_RM01,NEC_CP03_RP01,158,158
NEC_CM02_RM01,NEC_CP03_RP02,760,761
NEC_CM02_RM01,NEC_CP03_RP03,15,15
NEC_CM02_RM01,NEC_CP04_RP00,2,2
NEC_CM02_RM01,NEC_CP04_RP01,26,26
NEC_CM02_RM01,NEC_CP04_RP03,24,24
NEC_CM02_RM02,NEC_CM01_RM01,7156,7249
NEC_CM02_RM02,NEC_CM01_RM02,4093,4390
NEC_CM02_RM02,NEC_CM01_RM03,4725,4839
NEC_CM02_RM02,NEC_CM01_RP00,563,564
NEC_CM02_RM02,NEC_CM01_RP01,10,10
NEC_CM02_RM02,NEC_CM02_RM01,54879,63297
NEC_CM02_RM02,NEC_CM02_RM02,82818,93373
NEC_CM02_RM02,NEC_CM02_RM03,9927,10288
NEC_CM02_RM02,NEC_CM02_RP00,343,343
NEC_CM02_RM02,NEC_CM02_RP01,30,30
NEC_CM02_RM02,NEC_CM03_RM01,1045,1049
NEC_CM02_RM02,NEC_CM03_RM02,33499,34826
NEC_CM02_RM02,NEC_CM03_RM03,1193,1197
NEC_CM02_RM02,NEC_CM03_RP00,76,76
NEC_CM02_RM02,NEC_CM04_RM01,410,410
NEC_CM02_RM02,NEC_CM04_RM02,3476,3490
NEC_CM02_RM02,NEC_CM04_RM03,123,123
NEC_CM02_RM02,NEC_CP00_RM01,383,383
NEC_CM02_RM02,NEC_CP00_RP00,2068,2068
NEC_CM02_RM02,NEC_CP00_RP01,33,33
NEC_CM02_RM02,NEC_CP00_RP02,19,19
NEC_CM02_RM02,NEC_CP01_RP00,115,115
NEC_CM02_RM02,NEC_CP01_RP01,32,32
NEC_CM02_RM02,NEC_CP01_RP02,1,1
NEC_CM02_RM02,NEC_CP02_RP00,5,5
NEC_CM02_RM02,NEC_CP02_RP01,13,13
NEC_CM02_RM02,NEC_CP02_RP02,13,13
NEC_CM02_RM02,NEC_CP02_RP03,5,5
NEC_CM02_RM02,NEC_CP03_RP01,27,27
NEC_CM02_RM02,NEC_CP03_RP02,95,95
NEC_CM02_RM02,NEC_CP03_RP03,5,5
NEC_CM02_RM02,NEC_CP04_RP01,5,5
NEC_CM02_RM02,NEC_CP04_RP03,4,4
NEC_CM02_RM03,NEC_CM01_RM01,685,686
NEC_CM02_RM03,NEC_CM01_RM02,1485,1735
NEC_CM02_RM03,NEC_CM01_RM03,11248,12310
NEC_CM02_RM03,NEC_CM01_RP00,131,131
NEC_CM02_RM03,NEC_CM01_RP01,4,4
NEC_CM02_RM03,NEC_CM02_RM01,4724,4808
NEC_CM02_RM03,NEC_CM02_RM02,12005,12528
NEC_CM02_RM03,NEC_CM02_RM03,55705,63495
NEC_CM02_RM03,NEC_CM02_RP00,118,118
NEC_CM02_RM03,NEC_CM02_RP01,11,11
NEC_CM02_RM03,NEC_CM03_RM01,348,348
NEC_CM02_RM03,NEC_CM03_RM02,14916,15086
NEC_CM02_RM03,NEC_CM03_RM03,1450,1459
NEC_CM02_RM03,NEC_CM03_RP00,38,38
NEC_CM02_RM03,NEC_CM04_RM01,321,323
NEC_CM02_RM03,NEC_CM04_RM02,2834,2840
NEC_CM02_RM03,NEC_CM04_RM03,217,217
NEC_CM02_RM03,NEC_CP00_RM01,73,73
NEC_CM02_RM03,NEC_CP00_RP00,673,673
