homeTileId,workTileId,odRows,workers
NY_CM02_RP01,NY_CM05_RP01,50,50
NY_CM02_RP01,NY_CM05_RP02,1061,1064
NY_CM02_RP01,NY_CM05_RP03,152,152
NY_CM02_RP01,NY_CM06_RP01,35,35
NY_CM02_RP01,NY_CM06_RP02,36,36
NY_CM02_RP01,NY_CP00_RP00,3883,3900
NY_CM02_RP01,NY_CP00_RP01,540,543
NY_CM02_RP01,NY_CP00_RP02,1847,1873
NY_CM02_RP01,NY_CP00_RP03,112,112
NY_CM02_RP01,NY_CP00_RP04,83,83
NY_CM02_RP01,NY_CP00_RP05,7,7
NY_CM02_RP01,NY_CP01_RP00,505,506
NY_CM02_RP01,NY_CP01_RP02,1,1
NY_CM02_RP01,NY_CP01_RP03,2,2
NY_CM02_RP01,NY_CP02_RP00,5,5
NY_CM02_RP02,NY_CM01_RP00,30,30
NY_CM02_RP02,NY_CM01_RP01,727,732
NY_CM02_RP02,NY_CM01_RP02,10070,10800
NY_CM02_RP02,NY_CM01_RP03,964,993
NY_CM02_RP02,NY_CM01_RP04,200,200
NY_CM02_RP02,NY_CM01_RP05,116,117
NY_CM02_RP02,NY_CM02_RP01,6554,6740
NY_CM02_RP02,NY_CM02_RP02,108306,126856
NY_CM02_RP02,NY_CM02_RP03,13666,14839
NY_CM02_RP02,NY_CM02_RP04,337,338
NY_CM02_RP02,NY_CM03_RP01,1141,1145
NY_CM02_RP02,NY_CM03_RP02,10504,10991
NY_CM02_RP02,NY_CM03_RP03,3269,3367
NY_CM02_RP02,NY_CM03_RP04,29,29
NY_CM02_RP02,NY_CM04_RP01,26,26
NY_CM02_RP02,NY_CM04_RP02,2504,2513
NY_CM02_RP02,NY_CM04_RP03,4244,4273
NY_CM02_RP02,NY_CM05_RP01,117,117
NY_CM02_RP02,NY_CM05_RP02,3265,3277
NY_CM02_RP02,NY_CM05_RP03,368,368
NY_CM02_RP02,NY_CM06_RP01,98,98
NY_CM02_RP02,NY_CM06_RP02,87,87
NY_CM02_RP02,NY_CP00_RP00,8475,8499
NY_CM02_RP02,NY_CP00_RP01,1179,1180
NY_CM02_RP02,NY_CP00_RP02,5554,5591
NY_CM02_RP02,NY_CP00_RP03,337,338
NY_CM02_RP02,NY_CP00_RP04,329,329
NY_CM02_RP02,NY_CP00_RP05,16,16
NY_CM02_RP02,NY_CP01_RP00,1172,1175
NY_CM02_RP02,NY_CP01_RP02,20,20
NY_CM02_RP02,NY_CP01_RP03,8,8
NY_CM02_RP02,NY_CP02_RP00,32,32
NY_CM02_RP03,NY_CM01_RP00,12,12
NY_CM02_RP03,NY_CM01_RP01,239,239
NY_CM02_RP03,NY_CM01_RP02,6043,6318
NY_CM02_RP03,NY_CM01_RP03,1368,1416
NY_CM02_RP03,NY_CM01_RP04,490,492
NY_CM02_RP03,NY_CM01_RP05,124,124
NY_CM02_RP03,NY_CM02_RP01,862,865
NY_CM02_RP03,NY_CM02_RP02,34979,39682
NY_CM02_RP03,NY_CM02_RP03,36858,42114
NY_CM02_RP03,NY_CM02_RP04,2685,2765
NY_CM02_RP03,NY_CM03_RP01,376,376
NY_CM02_RP03,NY_CM03_RP02,2978,3021
NY_CM02_RP03,NY_CM03_RP03,4659,5039
NY_CM02_RP03,NY_CM03_RP04,60,60
NY_CM02_RP03,NY_CM04_RP01,11,11
NY_CM02_RP03,NY_CM04_RP02,1260,1269
NY_CM02_RP03,NY_CM04_RP03,1847,1861
NY_CM02_RP03,NY_CM05_RP01,55,55
NY_CM02_RP03,NY_CM05_RP02,1402,1404
NY_CM02_RP03,NY_CM05_RP03,166,166
NY_CM02_RP03,NY_CM06_RP01,38,38
NY_CM02_RP03,NY_CM06_RP02,44,44
NY_CM02_RP03,NY_CP00_RP00,3931,3939
NY_CM02_RP03,NY_CP00_RP01,703,704
NY_CM02_RP03,NY_CP00_RP02,3507,3538
NY_CM02_RP03,NY_CP00_RP03,292,294
NY_CM02_RP03,NY_CP00_RP04,381,382
NY_CM02_RP03,NY_CP00_RP05,32,32
NY_CM02_RP03,NY_CP01_RP00,559,559
NY_CM02_RP03,NY_CP01_RP02,13,13
NY_CM02_RP03,NY_CP01_RP03,3,3
NY_CM02_RP03,NY_CP02_RP00,21,21
NY_CM02_RP04,NY_CM01_RP00,3,3
NY_CM02_RP04,NY_CM01_RP01,41,41
NY_CM02_RP04,NY_CM01_RP02,537,540
NY_CM02_RP04,NY_CM01_RP03,120,120
NY_CM02_RP04,NY_CM01_RP04,2261,2422
NY_CM02_RP04,NY_CM01_RP05,316,322
NY_CM02_RP04,NY_CM02_RP01,108,108
NY_CM02_RP04,NY_CM02_RP02,1463,1475
NY_CM02_RP04,NY_CM02_RP03,6135,6619
NY_CM02_RP04,NY_CM02_RP04,8870,9950
NY_CM02_RP04,NY_CM03_RP01,71,71
NY_CM02_RP04,NY_CM03_RP02,242,242
NY_CM02_RP04,NY_CM03_RP03,273,276
NY_CM02_RP04,NY_CM03_RP04,98,100
NY_CM02_RP04,NY_CM04_RP02,248,249
NY_CM02_RP04,NY_CM04_RP03,274,274
NY_CM02_RP04,NY_CM05_RP01,20,20
NY_CM02_RP04,NY_CM05_RP02,263,263
NY_CM02_RP04,NY_CM05_RP03,35,35
NY_CM02_RP04,NY_CM06_RP01,5,5
NY_CM02_RP04,NY_CM06_RP02,11,11
NY_CM02_RP04,NY_CP00_RP00,607,607
NY_CM02_RP04,NY_CP00_RP01,144,144
NY_CM02_RP04,NY_CP00_RP02,1095,1106
NY_CM02_RP04,NY_CP00_RP03,139,140
NY_CM02_RP04,NY_CP00_RP04,512,515
NY_CM02_RP04,NY_CP00_RP05,55,55
NY_CM02_RP04,NY_CP01_RP00,104,104
NY_CM02_RP04,NY_CP01_RP02,8,8
NY_CM02_RP04,NY_CP01_RP03,2,2
NY_CM02_RP04,NY_CP02_RP00,2,2
NY_CM03_RP01,NY_CM01_RP00,5,5
NY_CM03_RP01,NY_CM01_RP01,114,114
NY_CM03_RP01,NY_CM01_RP02,243,243
NY_CM03_RP01,NY_CM01_RP03,34,34
NY_CM03_RP01,NY_CM01_RP04,17,17
NY_CM03_RP01,NY_CM01_RP05,5,5
NY_CM03_RP01,NY_CM02_RP01,2899,3044
NY_CM03_RP01,NY_CM02_RP02,1502,1515
NY_CM03_RP01,NY_CM02_RP03,372,372
NY_CM03_RP01,NY_CM02_RP04,29,29
NY_CM03_RP01,NY_CM03_RP01,26890,31211
NY_CM03_RP01,NY_CM03_RP02,4594,4770
NY_CM03_RP01,NY_CM03_RP03,168,168
NY_CM03_RP01,NY_CM03_RP04,3,3
NY_CM03_RP01,NY_CM04_RP01,290,294
NY_CM03_RP01,NY_CM04_RP02,2025,2050
NY_CM03_RP01,NY_CM04_RP03,1414,1420
NY_CM03_RP01,NY_CM05_RP01,137,138
NY_CM03_RP01,NY_CM05_RP02,1304,1312
NY_CM03_RP01,NY_CM05_RP03,214,217
NY_CM03_RP01,NY_CM06_RP01,73,73
NY_CM03_RP01,NY_CM06_RP02,43,43
NY_CM03_RP01,NY_CP00_RP00,1217,1219
NY_CM03_RP01,NY_CP00_RP01,170,170
NY_CM03_RP01,NY_CP00_RP02,563,564
NY_CM03_RP01,NY_CP00_RP03,30,30
NY_CM03_RP01,NY_CP00_RP04,44,44
NY_CM03_RP01,NY_CP01_RP00,156,156
NY_CM03_RP01,NY_CP01_RP02,3,3
NY_CM03_RP01,NY_CP01_RP03,1,1
NY_CM03_RP01,NY_CP02_RP00,1,1
NY_CM03_RP02,NY_CM01_RP00,16,16
NY_CM03_RP02,NY_CM01_RP01,363,364
NY_CM03_RP02,NY_CM01_RP02,901,904
NY_CM03_RP02,NY_CM01_RP03,184,188
NY_CM03_RP02,NY_CM01_RP04,99,99
NY_CM03_RP02,NY_CM01_RP05,54,54
NY_CM03_RP02,NY_CM02_RP01,1937,1973
NY_CM03_RP02,NY_CM02_RP02,17670,19160
NY_CM03_RP02,NY_CM02_RP03,2906,2954
NY_CM03_RP02,NY_CM02_RP04,135,135
NY_CM03_RP02,NY_CM03_RP01,4736,4856
NY_CM03_RP02,NY_CM03_RP02,61030,74211
NY_CM03_RP02,NY_CM03_RP03,2818,2927
NY_CM03_RP02,NY_CM03_RP04,16,16
NY_CM03_RP02,NY_CM04_RP01,163,168
NY_CM03_RP02,NY_CM04_RP02,8737,9007
NY_CM03_RP02,NY_CM04_RP03,6360,6455
NY_CM03_RP02,NY_CM05_RP01,157,158
NY_CM03_RP02,NY_CM05_RP02,3050,3062
NY_CM03_RP02,NY_CM05_RP03,419,419
NY_CM03_RP02,NY_CM06_RP01,92,92
NY_CM03_RP02,NY_CM06_RP02,101,101
NY_CM03_RP02,NY_CP00_RP00,5227,5245
NY_CM03_RP02,NY_CP00_RP01,666,669
NY_CM03_RP02,NY_CP00_RP02,2497,2520
NY_CM03_RP02,NY_CP00_RP03,156,156
NY_CM03_RP02,NY_CP00_RP04,160,161
NY_CM03_RP02,NY_CP00_RP05,10,10
NY_CM03_RP02,NY_CP01_RP00,710,712
NY_CM03_RP02,NY_CP01_RP02,10,10
NY_CM03_RP02,NY_CP01_RP03,1,1
NY_CM03_RP02,NY_CP02_RP00,10,10
NY_CM03_RP03,NY_CM01_RP00,6,6
NY_CM03_RP03,NY_CM01_RP01,90,90
NY_CM03_RP03,NY_CM01_RP02,548,548
NY_CM03_RP03,NY_CM01_RP03,114,114
NY_CM03_RP03,NY_CM01_RP04,56,57
NY_CM03_RP03,NY_CM01_RP05,34,34
NY_CM03_RP03,NY_CM02_RP01,491,502
NY_CM03_RP03,NY_CM02_RP02,13660,14997
NY_CM03_RP03,NY_CM02_RP03,5160,5425
NY_CM03_RP03,NY_CM02_RP04,181,181
NY_CM03_RP03,NY_CM03_RP01,273,273
NY_CM03_RP03,NY_CM03_RP02,5691,5879
NY_CM03_RP03,NY_CM03_RP03,16903,20451
NY_CM03_RP03,NY_CM03_RP04,6,6
NY_CM03_RP03,NY_CM04_RP01,10,10
NY_CM03_RP03,NY_CM04_RP02,2290,2339
NY_CM03_RP03,NY_CM04_RP03,4284,4457
NY_CM03_RP03,NY_CM05_RP01,47,47
NY_CM03_RP03,NY_CM05_RP02,1363,1366
NY_CM03_RP03,NY_CM05_RP03,152,152
NY_CM03_RP03,NY_CM06_RP01,32,32
NY_CM03_RP03,NY_CM06_RP02,31,31
NY_CM03_RP03,NY_CP00_RP00,2062,2070
NY_CM03_RP03,NY_CP00_RP01,270,270
NY_CM03_RP03,NY_CP00_RP02,1112,1122
NY_CM03_RP03,NY_CP00_RP03,86,87
NY_CM03_RP03,NY_CP00_RP04,98,98
NY_CM03_RP03,NY_CP00_RP05,1,1
NY_CM03_RP03,NY_CP01_RP00,268,268
NY_CM03_RP03,NY_CP01_RP02,5,5
NY_CM03_RP03,NY_CP01_RP03,1,1
NY_CM03_RP03,NY_CP02_RP00,6,6
NY_CM03_RP04,NY_CM01_RP01,1,1
NY_CM03_RP04,NY_CM01_RP02,11,11
NY_CM03_RP04,NY_CM01_RP03,2,2
NY_CM03_RP04,NY_CM01_RP04,4,4
NY_CM03_RP04,NY_CM01_RP05,1,1
NY_CM03_RP04,NY_CM02_RP01,3,3
NY_CM03_RP04,NY_CM02_RP02,32,32
NY_CM03_RP04,NY_CM02_RP03,116,121
NY_CM03_RP04,NY_CM02_RP04,118,121
NY_CM03_RP04,NY_CM03_RP01,2,2
NY_CM03_RP04,NY_CM03_RP02,4,4
NY_CM03_RP04,NY_CM03_RP03,3,3
NY_CM03_RP04,NY_CM03_RP04,53,59
NY_CM03_RP04,NY_CM04_RP02,2,2
NY_CM03_RP04,NY_CM04_RP03,2,2
NY_CM03_RP04,NY_CM05_RP02,4,4
